A833,金装无添加全效,200,140,30,24,40,55,10,120,100,20,200,40,148,170,38,200,20,33,220,120,24,2,100,0,280,16,35,10,50,160,12,150,10,150,60,400,12,350,"3,749"
A834,金装无添加五合一,"1,400","1,400",100,200,150,420,70,630,150,14,120,46,28,50,62,380,200,30,280,200,216,7,240,53,400,46,45,10,70,130,16,"1,300",8,300,50,500,650,150,"10,121"
A895,多乐士竹炭清新居五合一,110,800,200,"1,050",30,130,130,300,300,20,980,80,20,"2,100","3,480","1,625","1,700",30,"1,800",80,11,154,300,33,200,70,461,11,100,300,129,500,498,11,10,143,"1,450",20,"19,366"
A999,多乐士抗甲醛全效,220,860,25,25,110,630,37,199,80,130,250,123,25,150,702,327,"2,300",25,500,46,25,25,120,76,500,162,25,25,25,25,66,120,25,25,50,250,100,25,"8,434"
A899,多乐士抗甲醛五合一,870,"3,600",100,"1,300",40,230,140,160,80,100,300,100,100,601,"1,518","2,425",200,100,"1,000",80,780,100,"1,000",22,600,740,100,500,100,200,100,550,100,100,40,195,320,200,"18,793"
A968,金装全效超低VOC,140,520,15,15,15,180,15,15,60,10,260,23,20,"1,600","3,417","3,523","2,600",15,300,15,15,15,340,0,400,103,15,15,15,15,17,90,15,15,120,100,15,15,"14,081"
A997,金装5合1净味超低VOC,770,"4,050",126,312,450,180,80,170,"2,000",90,800,142,53,"1,000",195,"2,068","5,600",41,"1,900",12,61,150,680,100,300,306,248,211,85,53,45,240,627,61,50,286,128,35,"23,703"
A931-65984,多乐士净味底,"1,000","4,000",114,114,0,114,114,205,110,10,300,114,114,681,550,514,114,114,210,200,114,114,130,105,200,740,114,114,114,114,189,650,114,300,100,179,114,180,"12,370"
A906,抗裂净味5L,30,110,100,822,100,240,20,35,"1,000",53,300,28,20,50,20,250,3,4,480,40,3,184,150,48,290,30,85,3,50,3,94,200,6,16,50,100,10,150,"5,179"
ICI0039,家丽安抗污净味5L,140,500,50,322,100,95,30,25,50,14,100,34,61,"2,000",70,300,46,14,500,450,14,14,140,0,200,96,345,300,200,20,27,100,14,22,30,44,140,260,"6,868"
ICI0040,家丽安抗污净味18L,70,330,50,8,8,38,8,10,300,24,100,130,240,300,40,80,8,8,100,500,8,8,260,0,100,55,480,500,500,100,46,48,10,127,50,460,160,113,"5,379"
ICI0055,家丽安无添加5L,700,800,50,100,100,150,26,420,60,45,260,56,10,53,210,9,400,9,"1,200",500,9,9,600,40,400,61,392,130,9,100,22,700,800,150,200,200,150,500,"9,630"
ICI0066,家丽安无添加18L,160,600,50,16,15,45,16,16,200,45,200,170,16,98,80,16,16,16,170,400,16,16,260,200,100,113,218,60,16,100,47,700,800,150,200,100,400,500,"6,345"
ICI0011,多乐士家丽安净味底漆5L,120,500,13,255,100,280,13,258,10,9,100,40,13,200,70,546,86,13,220,300,13,100,310,0,250,90,27,13,13,30,80,100,63,13,30,50,13,13,"4,357"
ICI0012,多乐士家丽安净味底漆18L,100,444,13,13,10,120,13,13,10,12,100,55,18,75,60,100,13,13,13,30,13,250,13,0,200,80,25,13,13,13,126,64,447,13,10,13,13,13,"2,537"
A831-68202,多乐士竹炭清新居全效木器清漆,17,32,1,1,0,1,10,5,90,6,40,15,10,30,2,150,22,1,21,30,1,1,43,0,70,4,1,30,1,1,6,10,1,100,0,443,50,25,"1,268"
