商品类别,店铺分类,商家产品编码,商品名称,商家编码,标杆SKU,品牌,市场价,商城价,促销价,库存
钙,骨骼关节,0094218801,GNC/健安喜 海洋固加力软胶囊（珊瑚钙）60粒 天然钙源吸收更充分 553711,048107058432,553711,GNC/健安喜,99,99,,10
复合维生素/矿物质,基础营养,0094217353,GNC/健安喜 女性多种维生素复合片 女多维 90片/瓶  美国进口 514423,048107086602,514423,GNC/健安喜,238,238,166.6,30
鱼油/深海鱼油,心脑血管,0094218516,GNC/健安喜 鱼油软胶囊30粒 133123,048107110543,133123,GNC/健安喜,99,99,,10
其它植物提取物,基础营养,0094219268,GNC/健安喜 蓝莓精华胶囊 预防眼睛干涩 明目30粒 美国进口 196924,048107111069,196924,GNC/健安喜,99,99,,10
维生素C,基础营养,0094218889,GNC/健安喜 玉叶酵母营养片（孕妇叶酸片）100片 美国进口 256014,048107029647,256014,GNC/健安喜,108,108,,10
钙,骨骼关节,0094218787,GNC/健安喜 固加力软胶囊 90粒 钙镁液体钙 中老年补钙片 美国原装进口 094766,048107019044,094766,GNC/健安喜,220,220,,10
螺旋藻/藻类提取物,全部分类,0062373222,海王 螺旋藻软胶囊800mg*30粒 三瓶装,6938236204494,6938236204494,海王,204,204,81.6,6
维生素C,基础营养,0094218947,GNC/健安喜 玫瑰果精华营养片 100片 (VC营养片)提高免疫力 099413,6954314400145,099413,GNC/健安喜,78,78,62.4,20
胶原蛋白,容颜抗氧化,0093835008,GNC/健安喜 水解胶原蛋白片60粒 美国进口 297712,048107086466,297712,GNC/健安喜,220,220,99,50
锯棕榈,男性,0094217740,GNC/健安喜 锯棕榈片 120片/瓶 男性保健 美国原装进口 871211,048107006976,871211,GNC/健安喜,288,288,199,10
复合维生素/矿物质,基础营养,0094218561,GNC/健安喜 男性多种维生素复合片 男多维 90片514523,048107086619,514523,GNC/健安喜,238,238,166.6,30
卵磷脂,心脑血管,0094218663,GNC/健安喜 浓缩卵磷脂软胶囊 大豆无残留 30粒 106524,048107111052,106524,GNC/健安喜,99,99,,1000
鱼油/深海鱼油,心脑血管,0094218447,GNC/健安喜 深海鱼油软胶囊 营养 90粒/瓶 888621,048107083953,888621,GNC/健安喜,158,158,,20
鱼油/深海鱼油,心脑血管,0093835020,GNC/健安喜 浓缩鱼油软胶囊 60粒/瓶 美国原装 893123,048107108496,893123,GNC/健安喜,348,348,,5
维生素C,基础营养,0094218958,GNC/健安喜 针叶樱桃柑橘咀嚼片 180片133521,6954314400138,133521,GNC/健安喜,138,138,96.6,10
维生素E/小麦胚芽油,基础营养,0094224596,GNC/健安喜 小麦胚芽油软胶囊(原维生素E) 100粒 079566,048107069841,079566,GNC/健安喜,118,118,,10
鱼油/深海鱼油,心脑血管,0093661951,GNC/健安喜 鲑鱼油软胶囊 180粒 133966,048107069520,133966,GNC/健安喜,348,298,,5
葡萄籽/原花青素,容颜抗氧化,0094217502,GNC/健安喜 葡萄籽 精华胶囊 30粒/瓶 容颜抗皱 美国进口 198025,048107111151,198025,GNC/健安喜,79,79,,1000
