地域匹配关系,,,,,,,,
省,省id,市,市id,区,区id,经销商,经销商id,经销商是否已关闭
北京,110000,北京市,110100,东城区,110101,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,东城区,110101,家易涂,1809,否
北京,110000,北京市,110100,西城区,110102,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,西城区,110102,家易涂,1809,否
北京,110000,北京市,110100,崇文区,110103,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,崇文区,110103,家易涂,1809,否
北京,110000,北京市,110100,宣武区,110104,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,宣武区,110104,家易涂,1809,否
北京,110000,北京市,110100,朝阳区,110105,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,朝阳区,110105,多乐士经销商,1804,是
北京,110000,北京市,110100,朝阳区,110105,家易涂,1809,否
北京,110000,北京市,110100,丰台区,110106,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,丰台区,110106,家易涂,1809,否
北京,110000,北京市,110100,石景山区,110107,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,石景山区,110107,家易涂,1809,否
北京,110000,北京市,110100,海淀区,110108,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,海淀区,110108,家易涂,1809,否
北京,110000,北京市,110100,门头沟区,110109,家易涂,1809,否
北京,110000,北京市,110100,门头沟区,110109,北京物流,1815,否
北京,110000,北京市,110100,房山区,110111,家易涂,1809,否
北京,110000,北京市,110100,房山区,110111,北京物流,1815,否
北京,110000,北京市,110100,通州区,110112,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,通州区,110112,家易涂,1809,否
北京,110000,北京市,110100,顺义区,110113,家易涂,1809,否
北京,110000,北京市,110100,顺义区,110113,北京物流,1815,否
北京,110000,北京市,110100,昌平区,110114,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,昌平区,110114,多乐士经销商,1804,是
北京,110000,北京市,110100,昌平区,110114,家易涂,1809,否
北京,110000,北京市,110100,大兴区,110115,北京榕旭嘉建材经营部,1790,否
北京,110000,北京市,110100,大兴区,110115,家易涂,1809,否
北京,110000,北京市,110100,怀柔区,110116,家易涂,1809,否
北京,110000,北京市,110100,怀柔区,110116,北京物流,1815,否
北京,110000,北京市,110100,平谷区,110117,家易涂,1809,否
北京,110000,北京市,110100,平谷区,110117,北京物流,1815,否
北京,110000,北京市,110100,密云县,110228,家易涂,1809,否
北京,110000,北京市,110100,密云县,110228,北京物流,1815,否
北京,110000,北京市,110100,延庆县,110229,家易涂,1809,否
北京,110000,北京市,110100,延庆县,110229,北京物流,1815,否
北京,110000,北京市,110100,其它区,110230,家易涂,1809,否
北京,110000,北京市,110100,其它区,110230,北京物流,1815,否
天津,120000,天津市,120100,和平区,120101,天津顶顶好装饰材料经营部,1791,否
天津,120000,天津市,120100,和平区,120101,家易涂,1809,否
天津,120000,天津市,120100,河东区,120102,天津顶顶好装饰材料经营部,1791,否
天津,120000,天津市,120100,河东区,120102,家易涂,1809,否
天津,120000,天津市,120100,河西区,120103,天津顶顶好装饰材料经营部,1791,否
天津,120000,天津市,120100,河西区,120103,家易涂,1809,否
天津,120000,天津市,120100,南开区,120104,天津顶顶好装饰材料经营部,1791,否
天津,120000,天津市,120100,南开区,120104,多乐士经销商,1804,是
